This list is a compilation of total centuries scored by international cricketers, split between different formats of the game. A qualification of 15 overall centuries is used for entry onto the men's list. To date, 127 cricketers have scored 15 or more international centuries, 83 of whom went on to score 20 or more centuries, 44 have scored 30 or more centuries, and 21 have a total of 40 or more centuries. Across all three formats, 9 players have scored 50 or more centuries, 5 have scored 60 or more centuries and 3 have scored 70 or more centuries, 2 have scored 80 or more centuries in their respective international careers. Only one cricketer has scored 100 centuries. Five centuries is used as the qualifying standard for the women's list; to date, 28 players have reached this mark. == Key ==

Table:
0,1
^,Inducted into the ICC Cricket Hall of Fame
ǂ,Denotes player who is still playing internationally
—,Indicates player never played format



== Men's international cricket ==
Source: ESPNcricinfo
Last updated: 26 February 2025

Table:
Rank,Player,Period,Team,Test,ODI,T20I,Total
117,Rohan Kanhai^,1957–1975,West Indies,15,0,–,15
117,Ajinkya Rahane ǂ,2011–2023,India,12,3,0,15
117,Ravi Shastri,1981–1992,India,11,4,–,15
117,Travis Head ǂ,2016–2025,Australia,9,6,0,15
117,Navjot Singh Sidhu,1983–1999,India,9,6,–,15
117,Clyde Walcott^,1948–1960,West Indies,15,–,–,15
117,Doug Walters,1965–1981,Australia,15,0,–,15
117,Everton Weekes,1948–1958,West Indies,15,–,–,15
117,Kusal Mendis,2015–2025,Sri Lanka,10,5,–,15



== Women's international cricket ==
Source: ESPNcricinfo
Last updated: 1 February 2025

Table:
Rank,Player,Period,Teams,WTest,WODI,WT20I,Total
1,Meg Lanning,2010–2023,Australia,0,15,2,17
2,Suzie Bates ǂ,2006–2024,New Zealand,–,13,1,14
3,Charlotte Edwards,1996–2016,England,4,9,0,13
4,Claire Taylor^,1998–2011,England,4,8,0,12
4,Chamari Athapaththu ǂ,2009–2024,Sri Lanka,–,9,3,12
4,Tammy Beaumont ǂ,2009–2025,England,1,10,1,12
4,Smriti Mandhana ǂ,2013–2025,India,2,10,0,12
8,Nat Sciver-Brunt ǂ,2013–2025,England,2,9,0,11
9,Janette Brittin,1979–1998,England,5,5,–,10
9,Karen Rolton^,1995–2009,Australia,2,8,0,10
9,Laura Wolvaardt ǂ,2016–2024,South Africa,1,8,1,10
12,Sophie Devine ǂ,2006–2024,New Zealand,–,8,1,9
12,Hayley Matthews ǂ,2014–2025,West Indies,0,7,2,9
14,Debbie Hockley^,1979–1996,New Zealand,4,4,–,8
14,Mithali Raj,2002–2022,India,1,7,0,8
16,Belinda Clark^,1991–2005,Australia,2,5,0,7
16,Harmanpreet Kaur ǂ,2009–2024,India,0,6,1,7
16,Amy Satterthwaite,2007–2022,New Zealand,–,7,0,7
16,Sarah Taylor,2006–2019,England,0,7,0,7
16,Stafanie Taylor ǂ,2008–2024,West Indies,–,7,0,7
21,Enid Bakewell^,1968–1982,England,4,2,–,6
21,Alyssa Healy ǂ,2010–2025,Australia,0,5,1,6
21,Beth Mooney ǂ,2016–2025,Australia,1,3,2,6
21,Annabel Sutherland ǂ,2020–2025,Australia,3,3,0,6
26,Deandra Dottin ǂ,2008–2025,West Indies,0,3,2,5
26,Jill Kennare,1982–1987,Australia,3,2,–,5
26,Heather Knight ǂ,2010–2025,England,2,2,1,5
26,Ellyse Perry ǂ,2007–2025,Australia,2,3,0,5
